# SAXS profile: number of points = 101, q_min = 0, q_max = 0.5, delta_q = 0.005
#    q    intensity 
0.00000000 3280254.92988282 
0.00500000 3274486.45905746 
0.01000000 3257238.07479874 
0.01500000 3228682.88950198 
0.02000000 3189102.63561684 
0.02500000 3138890.91860235 
0.03000000 3078538.58909463 
0.03500000 3008632.11476780 
0.04000000 2929840.40132042 
0.04500000 2842912.26831947 
0.05000000 2748651.57234622 
0.05500000 2647921.90212245 
0.06000000 2541619.36106145 
0.06500000 2430673.17385159 
0.07000000 2316018.94699641 
0.07500000 2198599.27361398 
0.08000000 2079338.74274891 
0.08500000 1959149.65745336 
0.09000000 1838902.69569619 
0.09500000 1719423.79295014 
0.10000000 1601498.66913967 
0.10500000 1485842.97801665 
0.11000000 1373104.90830686 
0.11500000 1263875.92918264 
0.12000000 1158661.80502894 
0.12500000 1057900.01693169 
0.13000000 961952.42225090 
0.13500000 871094.29009128 
0.14000000 785538.69686888 
0.14500000 705424.81918174 
0.15000000 630824.98245862 
0.15500000 561748.17079258 
0.16000000 498140.40069044 
0.16500000 439910.92852559 
0.17000000 386905.11605186 
0.17500000 338942.59025252 
0.18000000 295801.79104992 
0.18500000 257242.97084998 
0.19000000 222994.48600741 
0.19500000 192784.84116061 
0.20000000 166317.63419388 
0.20500000 143303.28748969 
0.21000000 123447.79670412 
0.21500000 106462.98515556 
0.22000000 92065.54762549  
0.22500000 79990.11118378  
0.23000000 69973.83211283  
0.23500000 61776.09604463  
0.24000000 55169.66690381  
0.24500000 49944.81470140  
0.25000000 45906.16455422  
0.25500000 42878.01712467  
0.26000000 40700.70170321  
0.26500000 39228.23825560  
0.27000000 38335.91437452  
0.27500000 37907.76318917  
0.28000000 37842.89799387  
0.28500000 38055.40006841  
0.29000000 38467.17454272  
0.29500000 39015.50562406  
0.30000000 39641.29731243  
0.30500000 40297.91729438  
0.31000000 40945.18318973  
0.31500000 41549.25741807  
0.32000000 42084.58226035  
0.32500000 42528.45205273  
0.33000000 42865.42093039  
0.33500000 43081.60619123  
0.34000000 43170.04611200  
0.34500000 43128.08185294  
0.35000000 42953.27572973  
0.35500000 42647.35754604  
0.36000000 42215.12810163  
0.36500000 41663.17114709  
0.37000000 41002.08439565  
0.37500000 40241.00306952  
0.38000000 39392.54854186  
0.38500000 38468.93781109  
0.39000000 37485.50361508  
0.39500000 36455.98409361  
0.40000000 35394.25721606  
0.40500000 34314.48000727  
0.41000000 33231.68205081  
0.41500000 32157.40932275  
0.42000000 31104.28896625  
0.42500000 30083.74012482  
0.43000000 29105.52137045  
0.43500000 28176.16922794  
0.44000000 27304.94831569  
0.44500000 26495.30001397  
0.45000000 25752.91143965  
0.45500000 25077.39085877  
0.46000000 24471.67267316  
0.46500000 23934.14396354  
0.47000000 23463.70924135  
0.47500000 23058.75518518  
0.48000000 22714.85138182  
0.48500000 22428.44133366  
0.49000000 22194.81986509  
0.49500000 22009.12454824  
0.50000000 21866.63320186  
